idavis;idsociete;titreAvis;descriptionAvis;avantageAvis;inconvenientAvis;noteMoyenneAvis
718;148;« Une très mauvaise expérience, A éviter ... »;Je travaille chez Sii Poland à temps plein depuis moins d'un an;Avantages- Aucun avantage selon moi.;"Inconvénients- Entreprise où l'humain n'est pas présent,
- Des Managers qui te manipulent pour atteindre leurs objectifs personnels, ils sont présents à la signature du contrat seulement,
- Salaire beaucoup trop bas, aucune augmentation (et/ou très faible par rapport au marché), arnaque sur les coefficients,
-  Ils profitent des nouveaux diplômés et des étrangers,
- Certains nouveaux embauchés débutants ont des meilleurs...salaires que ceux qui ont été embauchés quelques années auparavant,
- Aucune négociation possible d'écourter le préavis de départ,
- Impossible de faire des formations,
- Commercial incompétent ... Il ne sait pas ce que on fait ...,
- Des sourires pour mieux faire passer les mensonges mais aucune parole n'est tenue,

Très mauvaise expérience a déconseiller et à fuirDérouler";4.8
719;148;« Avis négative »;Je travaille chez Sii Poland à temps plein depuis plus d'un an;AvantagesIl n'y pas vraiment d'avantage. La seul chose qu'on peut dire : certaines missions sont intéressantes.;"InconvénientsPression de travail,  pas d'augmentation,  pas  d'avantage CE,  participation nulle. 
Mauvais management, salaires bas par rapport au marché.";4.8
720;148;« Consultant »;Je travaille chez Sii Poland à temps plein depuis plus de 3 ans;AvantagesMutuelle, Ticket restaurant, chèques vacances;InconvénientsPrésence obligatoire dans leurs locaux en cas d'inter contrat;4.8
721;148;« Meilleure boite de conseil en France »;Je travaille chez Sii Poland à temps plein;AvantagesHierrchie à l'écoute. Bien payé;InconvénientsPas d’intéressement ni abondement. Petit CE;4.8
722;148;« Première impression »;Je travaille chez Sii Poland à temps plein;AvantagesPour une première expérience et première impression je trouve qu'il y a une bonne ambience et le personnel est très sympa.;InconvénientsJe viens de commencer et jusqu'à présent aucun inconvenient.;4.8
723;148;« Enterprise correct »;Je travaille chez Sii Poland à temps plein;"AvantagesC'est comme toute autre société de conseil typique.
mieux que l'autre ssii plus grand.
travaille avec les grands clients majeurs sur le marché.
a des projets intéressants dans mon secteur.";Inconvénientsil reste une société de conseil donc l'évolution professionnelle est inexistante;4.8
724;148;« un SSII parmis tant d'autres »;Je travaille chez Sii Poland à temps plein;"AvantagesBon CE, ticket restaurant, 
forfait journalier 3.16€
places de cinéma
nombreux réductions pour des activités";"Inconvénientsun SSII parmi tant d'autres
paye pas top
inter-contrat pas top
assez impersonnel
pas de suivi";4.8
725;148;« Peut mieux faire »;Je travaille chez Sii Poland à temps plein;AvantagesTrès bonne ambiance au sein des équipes;"InconvénientsCulte du secret
Très faible salaire";4.8
726;148;« Une autre boite de services »;J'ai travaillé chez Sii Poland à temps plein;"Avantages- Clients grand compte et missions intéressantes dans plusieurs sécteurs, idéal pour une premier travail après le diplôme
- Accompagnement et suivi régulier du commercial lors des missions (ça dépend de la BU mais c'est un avantage assez rare dans d'autres boites de conseil)
- Avantages CE: Ils ont de bons partenaires avec en plus plusieurs voyages organisés dans l'année à des pris intéressants
- Organisation de...petit déjs, soirées et événements pour se retrouver entre consultantsDérouler";"Inconvénients- Salaire initial de recrutement assez bas
- Augmentation annuelle très réduite voire quasi nulle
- Les primes de participation et d'intéressements sont très réduites et diminuent d'une année sur l'autre
- Difficultés à avoir des formations et manque de choix";4.8
727;148;« Tres mauvais souvenirs »;J'ai travaillé chez Sii Poland à;Avantagesaucun avantage n'as pu etre observé a ce jour. a part peut etre une capacité a augmenter l'esprit malveillant lors des evolutions de postes entre les differents collegues;"InconvénientsSouvent les SSII sont considérés comme etant les négriers modernes.
sii est le roi de cette categorie. Aucun respect des personnes, tout pour faire du commerce, quitte a mentir sur les cv et a demander aux personnes de valider ces mensonges.";4.8
728;148;« une SSII comme les autres »;Je travaille chez Sii Poland à temps plein;Avantages- les ateliers techniques à l'agence, RTT;"Inconvénients- manipulation par les commerciaux ( ""il ne faut pas dire ça au client sinon.."")
- les déplacements pour le client pas payés 
- les consultants ""abandonnés"" -  l'absence de suivi";4.8
729;148;« Société a éviter »;J'ai travaillé chez Sii Poland à temps plein plus de 3 ans;"AvantagesQuelques consultants sympathique, mais c'est partout pareil.
Un bon CE";"InconvénientsDes directeurs d'agence incorrect et qui font tout pour se séparer de vous si vous vous retrouvez en inter-contrat
La pression est constante dans cette entreprise
Aucune prise en compte des besoins des salariés";4.8
730;148;« Ingenieur reseaux »;Je travaille chez Sii Poland à temps plein depuis plus de 3 ans;"Avantagesfrais transport 100% prime vacances
Atmosphère de travail agréable
Flexible";Inconvénientsparticipation  tres faible, salaire pas haut;4.8
731;148;« Je travaille chez SII en cdi »;Je travaille chez Sii Poland à;Avantagespour ceux/celles qui aiment le service clientele et les voitures;InconvénientsQuelques clients difficiles a gerer, manque de vehicule..;4.8
732;154;« Bonne expérience »;J'ai travaillé chez cerema à;AvantagesAmbiance, variété missions, cohésion équipe;Inconvénientsaucun aucun aucun aucun aucun;3.9
733;154;« Cadre de travail et missions intéressantes »;J'ai travaillé chez cerema à;AvantagesCadre de travail et missions intéressantes, flexibilité;InconvénientsAccès à un poste de titulaire par concours avec peu de places;3.9
734;154;« Stage »;J'ai travaillé chez cerema à  moins d'un an;AvantagesAutonomie,  compétences des collègues;InconvénientsIncertitudes sur l'avenir de l'entreprise;3.9
735;154;« Chargé d'études »;Je travaille chez cerema à;AvantagesPlusieurs thématiques de recherche, avantages de la fonctionne publique;InconvénientsPeu de flexibilité, réductions du personnel;3.9
736;154;« Agent d'appui »;J'ai travaillé chez cerema à  moins d'un an;AvantagesPolyvalence dans les fonctions du quotidien;InconvénientsLes contrats de courts dure pour les vacataires;3.9
737;154;« Projet intéressant »;J'ai travaillé chez cerema à  moins d'un an;AvantagesProjets intéressant, Bonne ambiance, Confiance, Foyer;"InconvénientsPas de tickets resto
Peu de perspective d'évolution";3.9
738;154;« Dream Job »;Je travaille chez cerema à  depuis moins d'un an;"Avantages- Collaborateurs passionnés, ils ne sont pas là que pour le salaire
- Projets au profit des citoyens et pas aux grandes boites
- Temps libre
- Les autres avantages de la fonction publique";"Inconvénients- Inconvénients de la fonction publique
-  Manque de team work et client communication
- Stratégie de fermeture";3.9
739;154;« stages intéressants proposés par le Cerema Sud-Ouest »;Je travaille chez cerema à  depuis moins d'un an;"Avantages-très bonne ambiance avec l'équipe,
- établissement public jeune et dynamique
- Beaucoup d'autonomie et d'aide
- Mission très intéressantes et enrichissantes
- chef de groupe très à l'écoute des stagiaires
- des géomaticiens toujours disponible pour les stagiaires, malgré leur charge de travail,
- Une pause café tous les matins c'est génial : opportunité à connaître l'équipe
- des projets très intéressants et...valorisants.Dérouler";"Inconvénients- Pas de ticket resto,
- trop chère la restauration sur place pour un stagiaire,
- problème du transport en commun :  le bus passe toutes les 30 minutes.";3.9
740;154;« avis positive »;J'ai travaillé chez cerema à temps plein plus d'un an;Avantagestransport, subvention de restaurant. Pique nique est souvent organisée. L'environnement de travail est sympathique;InconvénientsPas de ticket restaurant, l'équipe de travail n'est plus jeune.;3.9
741;154;« Ancien stagaire »;J'ai travaillé chez cerema à  moins d'un an;"Avantagesbeaucoup d'autonomie
une bonne ambiance entre l'équipe";Inconvénientspublic ,motivation  et salaire pas assez;3.9
742;154;« Expérience enrichissante »;J'ai travaillé chez cerema à;"Avantagesla diversité des profils 
une opportunité pour apprendre et découvrir le métier de la recherche scientifique dans le but de résoudre des problèmes du quotidien";"InconvénientsManque d'organisation
la restauration est trop chère pour un stagiaire";3.9
743;159;« Très formateur »;J'ai travaillé chez Paris Inn Group à  moins d'un an;"Avantages- Très bon environnement & collègues
- Société en pleine croissance";Inconvénients- changement d'effectifs trop fréquent;2.2
744;159;« Le groupe Paris Inn est loin de ses salariés »;J'ai travaillé chez Paris Inn Group à temps plein plus d'un an;AvantagesLes deux hotels pour lesquels je travaillais ne présentaient pas vraiment d’avantages;InconvénientsPas de communication entre les opérationnels et le sièges, salaires bas, pas de reconnaissance.;2.2
745;159;« la rentabilité sans tenir compte des collaborateurs »;Je travaille chez Paris Inn Group à temps plein depuis plus de 3 ans;Avantagesune bonne école, apprendre la résistance au stress;Inconvénientspas de respect des collaborateurs (turn-over très important) : salaire au minimum, pas d'avantage sociaux, horaires à rallonge (même pendant les congés), heures supp non payées (et non récupérées),. Mauvais équilibre vie pro-vie perso.;2.2
746;159;« Super boite en pleine expansion »;J'ai travaillé chez Paris Inn Group à  moins d'un an;AvantagesPleins de nouveaux projets, grosse responsabilisation;InconvénientsGros gap entre le management et le reste des équipes;2.2
747;159;« Une entreprise dynamique »;Je travaille chez Paris Inn Group à temps plein depuis plus d'un an;AvantagesUne entreprise dans laquelle on peut rapidement prendre des responsabilités si on ose. Un partage d’informations important de la part des dirigeants sur la stratégie. Sa croissance rapide permet de pouvoir élargir le scope de son poste sans être stoppé par des process d’évolution figés comme dans les grands groupes. Du coup si on a envie d’apprendre hors de son périmètre on se sent libre de le faire.;InconvénientsQuand on débute dans l’entreprise, l’absence de procédures cadrées peut être déstabilisante si on vient d’un grand groupe : il faut de la souplesse et de l’agilité. Il manque parfois d’échanges de best practices entre les départements.;2.2
748;159;« Formateur avec les avantages et inconvients »;J'ai travaillé chez Paris Inn Group à temps plein;"AvantagesFormateur, polyvence du poste. 
Un avantage pour premier/ deuxième poste. 
Equipe siège : bonne entente de manière générale. 
Equipe hôtel : Agréable";InconvénientsParfois, manque de reconnaissance, peu de motivation et à tort car il y a des challenges intéressants;2.2
749;159;« Société toxique »;J'ai travaillé chez Paris Inn Group à temps plein;AvantagesLe seul avantage à été de travailler aux côtés de collaborateurs formidables (au siège et dans les hôtels), excepté la Direction Générale.;"InconvénientsUne Direction Générale malveillante qui insulte et ne respecte pas ses employés : mails assassins avec la terre entière en copie pour toujours plus d’humilIation, échanges verbaux violents et utilisation à gogo de lettres d’avertissement. Une pression inouïe, peu de moyens et de ressources pour travailler dans de bonnes conditions. Une entreprise qui est aussi un mauvais payeur pour ses fournisseurs. Quel dommage...quand on connaît la qualité des équipes qui sont en or ! 
Pour résumer, les valeurs clamées haut et fort par la DG sont un mensonge : 
- détermination = gagner à tout prix quitte à mentir et à écraser
- respect = humiliations quotidiennes
- partage = surtout pas avec les collaborateurs mais plutôt avec le réseau de banquiers et d’avocats !
Le management est un savoir-faire que la DG n’a jamais dû apprendre. Bref, c’est une entreprise où l’épanouissement professionnel n’est pas au rendez-vous !Dérouler";2.2
750;159;« Esclavage du 21ème siècle »;J'ai travaillé chez Paris Inn Group à temps plein;AvantagesAUCUN ! Uniquement votre salaire et beaucoup beaucoup beaucoup d'heures supplémentaires jamais récupérables.;"InconvénientsEntreprise  avec une belle vitrine, mais sans aucune transparence ! Le CA c'est la seule chose importante dans cette entreprise. 
""Etre le leader sur le marché hôtelier"" c'est une belle phrase mais il faut encore avoir des bases du service hôtelier : Marketing pur et dur, avec une réalité bien travestie pour faire joli sur le net. 

Le plus important c'est de remplir les hôtels, faire des délogements à gogo et ne...proposer aucun service aux clients. 
Manque de staff H24, RH qui porte un beau masque professionnel mais totalement incompétente qui vous vend du rêve mais qu'au final n'est jamais présente et qui ne mène aucune action. 

Côte humain inexistant:  vos besoins personnels n'ont pas d'importance, votre vie privée n'existe plus. L'espace personnel / repos n'existe pas et si vous avez de la chance d'avoir un espace celui-ci ressemblera à une cave avec des moucherons. Vous devez faire le travail de 5 personnes, être disponible 24h/7j (car vous êtes contacté sans cesse par votre boss) et, bien-sûr, garder le sourire !

Management / Leadership est à l'image du néant  ! Un inconnu aurait pu prendre la place. 
CE NE SONT PAS DES HÔTELIERS MAIS DES FINANCIERS ! Vive à la nouvelle Banque de France ! 
Je vous invite à postuler si vous avez toujours rêvé de travailler dans une épicerie.Dérouler";2.2
751;159;« Evitez cette entreprise, c'est l'horreur »;J'ai travaillé chez Paris Inn Group à temps plein;AvantagesOn n'a pas d'avantages. Chez Paris Inn on charge les employées 400 EUR la nuit dans ces hôtels. C'est ridicule!;"InconvénientsJe ne sais pas où ils'ont trouvé le Directeur Général (Grégory Pourrin) du groupe. C'est une personne super désagréable, pas possible d'avoir un dialogue avec lui. Les employées ne comptent pas. Diriger comme les Allemands dans les années 30/40, non merci.
La directrice RH parle beaucoup, promet beaucoup mais à la fin... rien. Elle n'est pas sérieuse. 
La directrice FINANCE n'a aucune idée du leadership.";2.2
752;159;« Paris Inn c’est du vent »;J'ai travaillé chez Paris Inn Group à temps plein plus de 3 ans;AvantagesAucun avantages vu l’indifference De la Dirsction vis à vis des collaborateurs;InconvénientsAucune considération, une Direction Générale avec qui il est impossible de dialoguer, un service des Ressources Humaines géré par une incompétente qui pense révolutionner le secteur....;2.2
753;159;« Le pire des employeurs du monde »;J'ai travaillé chez Paris Inn Group à temps plein plus de 3 ans;AvantagesBels hôtels mais très petits;"InconvénientsOn a eu peur de la direction générale. Du stress et de la pression jaque jour. Pleins d'heures supplémentaires sans compensation, sans dire merci. Salaires non competitives et pas d'augmentations. Pas de respect pour les salariés. Pas de ""people skills"", pas de ""soft skills"", pas de ""leadership""... très triste.
Un ""Managing Director"" qui n'arrive pas à parler anglais... aussi triste.
Un ""Managing Director"" qui...n'arrive pas à parler à ses employées sans gueuler... encore plus triste.Dérouler";2.2
754;159;« Mirage... à eviter »;Je travaille chez Paris Inn Group à temps plein depuis plus de 3 ans;AvantagesGroupe en plein essort, beaux produits, bcps d'ouvertures;InconvénientsZones d'ombre au niveau ressources humaines, heures supp non comptabilisées, salaires bas, pas d'avantages, aucune valorisation des employés ni sentiments d'appartenance, pas de moyens;2.2
755;159;« pas de politique salariale »;Je travaille chez Paris Inn Group à temps plein;Avantagesbonne école, bonne formation, multitache;Inconvénientshoraires à rallonge, pas d'heures supplémentaires, salaires au minimum, pas d'augmentation;2.2
756;159;« Bof »;J'ai travaillé chez Paris Inn Group à;"AvantagesAucun avantage à travailler pour Pais Inn Group.
Beaucoup d'efforts et d'investissement personnel qui ne sont jamais récompensés";"InconvénientsSalaires Bas, horaires à ralonge même si nous sommes dans l'hôtellerie 
L'ambiance est tendue avec es équipes constamment sous pression";2.2
757;162;« Stage Interessant »;Je travaille chez Groupe Altice Média à;"AvantagesBons horaires
De bonnes responsabilités
Une bonne ambiance";InconvénientsDépendence entre les différents services;3.4
758;162;« Super! »;J'ai travaillé chez Groupe Altice Média à;AvantagesTrès bonne équipe chez A Nous Paris, grandes responsabilités et une belle confiance accordée aux stagiaires;InconvénientsJe n'en vois pas vraiment, le climat est vraiment bon chez A Nous Paris et il y fait bon travailler;3.4
759;162;« grand groupe media »;Je travaille chez Groupe Altice Média à temps plein;AvantagesGrand groupe  media  et telecommunication;Inconvénientspeu de perspectives  -  groupe en mutations avec d beaucoup de départs et donc ambiance tres moyenne;3.4
760;162;« regie ok »;Je travaille chez Groupe Altice Média à temps plein;Avantagesl'autonomie des commerciaux tous secteurs;Inconvénientsle suivie de carrière n'est pas une priorité;3.4
761;162;« Un parfait stage de fin d'études »;J'ai travaillé chez Groupe Altice Média à  moins d'un an;Avantagesl'univers des médias est un véritable catalyseur intellectuel;Inconvénientsplan de licenciements le plus important de l'hexagone, un contexte d'ensemble pas toujours évident.;3.4
762;162;« Correct »;Je travaille chez Groupe Altice Média à  depuis moins d'un an;AvantagesTickets restaus, salaire correct pour un secteur en difficulté, transport pris en charge à 100%;InconvénientsSecteur en difficulté- Sortie de PSE;3.4
763;162;« Avantages existants peut-être pas pour longtemps... »;Je travaille chez Groupe Altice Média à;"Avantages- bon CE (offres de concerts, expos, voyages)
- subvention de 200€ / an pour les activités extra
- chèques vacances à tarif préférentiel selon quotient familial
- PEE";Inconvénients- ambiance difficile depuis le rachat par P. Drahi (juin 2015) et le plan social (janvier 2016);3.4
764;162;« La confiance n'est pas donnée, elle se gagne »;J'ai travaillé chez Groupe Altice Média à temps plein;"AvantagesLe portefeuille de marques est très prestigieux tant côté magazines ""print"" que côté sites web.
Missions le plus souvent très intéressantes avec une large autonomie quand on a la confiance de la hiérarchie.
Collègues très sympas et intéressants des journalistes aux fonctions techniques tout le monde aime la presse, l'info, l'actualité. L'ouverture d'esprit est omniprésente.
Beaucoup de congés.";"InconvénientsLa hiérarchie n'est pas toujours très compétente, souvent débordée. Leur manque de disponibilité leur est souvent reprochée. Les grands managers ont beaucoup de pression et il y en a beaucoup qui ne peuvent faire autrement que de communiquer cette pression à leur entourage.
Salaires à négocier durement au début car après... il n'y a plus grand chose.
Entreprise en réorganisation permanente.";3.4
765;162;« Stage L'EXPRESS »;J'ai travaillé chez Groupe Altice Média à;"Avantages50% du pass Navigo/imagin'R
Bonne ambiance de travail/open space
Accès au restaurant d'entreprise";"InconvénientsIl faut tomber sur un bon maître de stage
Rémunération minimum pour un stage
Tickets restaurants à partir de 3 mois de présence dans l'entreprise";3.4
766;163;« Des employés ouverts mais une organisation compliquée »;J'ai travaillé chez CALIDA Group à;"AvantagesUne ambiance sportive
Des opportunitées & missions multiples";InconvénientsDifficultés de communication intermarques et interdépartements;4.0
767;165;« A FUIRE ET RAPIDEMENT »;Je travaille chez Logware à temps plein depuis moins d'un an;"AvantagesAucun avantage, ne perdez pas votre temps.
Que des mensonges";"Inconvénients- Préjugé sur des simples dit
- Aucune notion de management
Fin de mission en période d'essais, on me demande de demander un congé sans soldes,  donc congé sans soldes IMPOSES et pendant ce dernier on me licencie pour motif : trop de personnes en intercontrat.

RH incompétente.

Un conseil fuyez et ne prenez jamais contact avec cette ""Entreprise"".";3.6
768;165;« Très bonne expérience ! »;J'ai travaillé chez Logware à temps plein plus de 3 ans;"Avantages- Une entreprise à taille humaine, à l'écoute de ses équipes
- Bonne ambiance et équipes dynamiques
- Locaux sympas, modernes et situés dans Paris
- Belles perspectives d'évolution avec des passerelles entre différents postes
- Possibilité de formations internes et externes
- Evénements d'entreprise nombreux : soirées, afterworks, sport, etc.
- Avantages sociaux : titre de transports remboursé à 100%,...tickets-restaurants, mutuelle et prévoyance ++Dérouler";"Inconvénients- Turn-over dans les équipes commerciales 
- Absence de CE";3.6
769;165;« Une belle première expérience ! »;J'ai travaillé chez Logware à temps plein plus de 3 ans;AvantagesEntreprise à l'écoute de ses collaborateurs, bonne ambiance, équipe jeune et dynamique, des locaux modernes et bien aménagés dans Paris, des perspectives d'évolution et de formation, une bonne mutuelle, des tickets-restaurants et un remboursement à 100% du titre transport, des soirées organisées dans des lieux sympas toute l'année;"InconvénientsPas de CE digne de ce nom, pas de restaurant d'entreprise... On fait vite le tour de la nourriture asiatique ;-)!";3.6
770;165;« Mon expérience chez Logware »;Je travaille chez Logware à temps plein depuis plus d'un an;AvantagesAutonomie, perspective d'évolution rapide, très bonne ambiance, entreprise à taille humaine et à l'écoute de ses salariés. Je recommande vivement Logware !;InconvénientsPas d'inconvénients à évoquer;3.6
771;165;« Top »;Je travaille chez Logware à temps plein depuis plus de 3 ans;"AvantagesLogware est une entreprise à l'esprit familial où il fait bon travailler.
Une direction à l'écoute des projets / aspirations de ses équipes.
De beaux locaux rénovés très récemment. 
Des avantages ""sociaux"" : tickets-restaurants, CE, prise en charge du pass navigo, mutuelle, prévoyance.
Des équipes RH et commerciales jeunes et impliquées.";InconvénientsJe ne vois pas d'inconvénients.;3.6
772;165;« Evitez cette SSII ! »;J'ai travaillé chez Logware à temps plein plus de 5 ans;AvantagesLes tickets restaurants sont corrects. Le pass navigo est remboursé.;"InconvénientsAucune écoute quand la prestation se passe mal; commerciaux incompétents en majorité, ressources humaines très antipathiques, et gestion des intercontrats absurdes. Ils abusent du mauvais état moral des consultants en inter-contrat pour leur mettre la pression afin qu'ils s'en aillent ou acceptent n'importe quoi. Pas de gestion de carrière. Pas de CE intéressant. Pas de formations. Fuyez vite !!!";3.6
773;165;« Bonne société »;Je travaille chez Logware à temps plein;AvantagesESN ou il fait bon vivre, bonne ambiance et locaux agréable.;InconvénientsImplantation parisienne et région parisienne;3.6
774;165;« A éviter absolument »;J'ai travaillé chez Logware à temps plein moins d'un an;Avantages100% Transport remboursé, Ticket restaurant;"InconvénientsSalaire très bas surtout pour les étrangers (Procédure d'introduction).
Ils mettent la pression pour accepter les missions. (Même si c'est une régression pour le consultant) 
Le CE est à revoir.
Les consultants en inter-contrat doivent se présenter chaque jour au siège.
Certains ingénieurs d'affaires ne sont pas expérimentés  et pas professionnels.
Malhonnête et irresponsables";3.6
775;165;« La meilleure ESN de ma carrière! »;J'ai travaillé chez Logware à temps plein plus de 5 ans;"AvantagesAprès 5 ans chez Logware sur un poste de chef de projet, c'est avec regret que j'ai dû quitter l'entreprise pour tenter une nouvelle expérience en Asie.
Logware est une des rares ESN où il fait bon vivre... Equipe commerciale à l'écoute, une équipe RH au top et bienveillante, un service admin toujours dispo...
Logware vous apporte des missions qui vous permettent d'évoluer, des formations pour rester à la pointe...de votre métier et une ambiance qui donne envie de rester de vous investir..
Triste d'avoir quitté Logware mais heureux de cette superbe expérience!
Je recommande les yeux fermésDérouler";InconvénientsLe CE, bon c'est un détail... Pas d'intéressement;3.6
776;165;« suivi qui laisse à désirer »;Je travaille chez Logware à temps plein depuis moins d'un an;Avantagesavantage si on peut parler en  ces mots, présent dans les top list des grands groupes...;"Inconvénientsrelation entre le commercial et le collaborateur qui  laisse à désirer.
des mails qui sont répondus au bon de la deuxième ou troisième relance, obligé de mettre des ultimatums pour avoir des réponses.

après je pense que ca reste du cas par cas.

CEE pas intéressant, peu d'activités avec la société
esn moyenne.";3.6
777;165;« Une entreprise sympa »;Je travaille chez Logware à temps plein depuis plus de 10 ans;"Avantagessuivi commercial
Salaire
Organisation d’événement en dehors du travail";"Inconvénientsléger manque de formation
rien d'autre";3.6
778;165;« Expérience très enrichissante ! »;J'ai travaillé chez Logware à temps plein plus de 3 ans;"Avantages- Missions stimulantes et variées au sein du staff Logware, 
- Ambiance chaleureuse, conviviale avec une réelle préoccupation de la direction pour le bien-être et l’épanouissement professionnelle de ses collaborateurs. 
- Possibilité d’évolution et de mobilité professionnelle en interne. 
- Locaux modernes et situés dans Paris.";InconvénientsRien à signaler en particulier!;3.6
779;165;« Entre prise à éviter absolument ! »;J'ai travaillé chez Logware à temps plein plus de 3 ans;Avantages100% transport remboursé, 9 euros par jour de ticket restaurant. Chèque cadeau en fin d'année.;"InconvénientsPas d'augmentation envisageable une fois le contrat de travail signé et ce, malgré la réalisation des objectifs spécifiés.
Impossible d'obtenir une formation même si celle-ci est indispensable pour évoluer professionnellement.
La période d'inter-projet s'apparente à une assignation à résidence. Voici les règles à respecter pendant cette période :
1./ se présenter du lundi au vendre au siège de logware.
2./...arrivée 9h30 départ 18h00 du lundi au jeudi. 9h30 - 16h56 le vendredi
3./ 1h de pause déjeuné à prendre entre 11h45 et 14h
4 / 20 minutes de pause au total à prendre 3 ou 4 fois dans la journée.
6./ surtout ne pas oublier de signer une feuille représente sinon c'est considéré comme du sans solde.
7./ ne surtout pas refuser une mission qui ne correspond pas à son profile sinon on reçois une convocation pour entretient préalable au licenciement.
Rémunération en dessous du marchéDérouler";3.6
780;165;« Défavorable »;J'ai travaillé chez Logware à temps plein;AvantagesAucun avantage ils sont pas responsables;InconvénientsMalhonnête irresponsables non respect des promesses tenues;3.6
781;165;« Boite déplorable, à éviter absolument »;J'ai travaillé chez Logware à temps plein moins d'un an;AvantagesSincèrement pas de pros durant mon expérience.;"InconvénientsPour les consultants étrangers après qu'ils font avec eux la procédure d'introduction et les faire venir en France avec un visa mention ""salarié"", tu es obligé de chercher une mission pendant les deux premières semaines sans salaire et la direction exerce de pression au consultant tant qu'il n'a pas encore décroché une mission .Si tu dépasses un mois sans mission, la direction peut mettre fin à la période d'essai et...tu perds ton emploi.
-Très peu de mission proposée vu le manque d'organisation et de relation avec des clients finaux
- ESN est clôturé deux semaines au mois d’août ==> le consultant en période d'inter contrat est forcé par obligation de la direction soit de déposer des congés RTT et congé de son solde, soit son salaire d’août sera calculé sur la base de deux semaines seulement(moitié de salaire).
- Absence totale d'activité durant la période d'inter contrat et le consultant rejoint ESN une journée de présence par semaine durant la période d'inter contrat ==>le consultant n'aura que 4 tickets restaurant par mois (c'est la politique de harcèlement financier d'un nouveau consultant).
- Une très mauvaise expérience, j'ai perdu 2 mois avec eux sans mission, ESN n'est pas du tout référencé, pas de professionnalisme, direction incompétente, plusieurs démissions
N.B : vu sa défaillance financière, cette boîte a été racheté par une autre ENS (Extia)Dérouler";3.6
782;165;« A éviter !! »;Je travaille chez Logware à temps plein depuis moins d'un an;Avantagesopportunité grand compte, environnement technique evolué;InconvénientsHarcèlement, salaire inférieur à celui du marché, commerciaux non professionnels, ..;3.6
783;165;« Une entreprise humaine »;J'ai travaillé chez Logware à temps plein plus de 10 ans;AvantagesConsultant respecté, formé et peux avoir plein d'opportunités pour mettre en oeuvre ses idées car écouté par la direction (surtout la nouvelle !);InconvénientsCertains commerciaux old school qui ne se sont pas adaptés à la nouvelle direction et donc au respect du consultant;3.6
784;165;« Salaire Développeur Java »;Je travaille chez Logware à temps plein;AvantagesStabilité, Disponibilité des mission ( portefeuille de client assez large);InconvénientsSalaire,  Communication, Perspectives de carrières;3.6
785;165;« Une entreprise à l'écoute! »;Je travaille chez Logware à temps plein;"AvantagesProjets et formations intéressantes
Bon accueil
Suivi des consultants
Dynamique";InconvénientsJe n'ai rien à signaler;3.6
786;165;« Entreprise familiale avec de bonnes valeurs ! »;Je travaille chez Logware à temps plein depuis plus de 5 ans;"AvantagesSuivi des consultants
Ambiance générale
Esprit familial";InconvénientsLa vétusté des locaux du siège.;3.6
787;167;« Un bon choix de carrière »;Je travaille chez Fortuneo SA à temps plein depuis plus de 3 ans;"Avantages- projets variés et intéressants
- équilibre vie pro / vie perso (et 24 RTTs !) 
- équipes jeunes et dynamiques
- management à l'écoute";"Inconvénients- inertie/frilosité dans les prises de décision
- impact important du contexte réglementaire";3.5
788;167;« Bonne entreprise mais bcp de turn over »;J'ai travaillé chez Fortuneo SA à temps plein plus d'un an;AvantagesL'ambiance est bonne, l'équipe est jeune, les locaux sont agréables. Il y a un bon CE et une cantine, et un team building régulier. Appartient à CM arkea donc pas mal d'avantages à ce niveau;InconvénientsUne hiérarchie haute pas forcément à l'écoute des salariés, beaucoup de turn over, pas beaucoup de perspectives d'évolutions;3.5
789;167;« Marketing »;J'ai travaillé chez Fortuneo SA à;"AvantagesTrès intéressant et formateur. Tres
 Bonne expérience";InconvénientsPas d'inconvénient spécifique à relever;3.5
790;167;« Entreprise jeune avec une bonne ambiance »;Je travaille chez Fortuneo SA à;AvantagesJ'ai très vite travaillé sur des sujets à enjeux très élevés. Mes managers sont très accessibles et à l'écoute de mes recommandations, cela facilite la prise d'initiative.;InconvénientsPérimètre du poste un peu réduit qui peu frustrer si il n'y a pas de nouveaux challenges réguliers, mais possibilité d'en proposer. Pas d'ouvertures de postes en CDI donc peu d'opportunités.;3.5
791;167;« Bonne opportunité »;J'ai travaillé chez Fortuneo SA à  plus d'un an;AvantagesCE ARKEA,  les primes;InconvénientsPas toujours facile d'approuver des choix techniques par la hierarchie;3.5
792;167;« Management catastrophique »;Je travaille chez Fortuneo SA à temps plein;AvantagesLes avantages de la convention collective des banques, entreprise en bonne santé sur un marché en croissance;InconvénientsManagement deresponsabilisant, surcharge de travail pour certains, ennui pour d'autres, turn over très important, outils informatiques dépassés... une direction manquant de leadership;3.5
793;167;« Bonne ambiance mais management complètement Archaïque quand il existe »;Je travaille chez Fortuneo SA à temps plein depuis moins d'un an;AvantagesDes collègues géniaux et une grande solidarité;"Inconvénientsmanagement archaïque ou inexistant (des exceptions existent tout de même) et peu de possibilité d'évolution.
Middle management qui sclérose l'entreprise (effet d’entonnoir)";3.5
